Films,Year,Year1,Country,Director
Born in Flames,1983,1983,,Directed byLizzie Borden
Pandora's Box,1928Germany,1928,Germany,Directed byG.W. Pabst
Sullivan's Travels,1941USA,1941,USA,Directed byPreston Sturges
Annie Hall,1977USA,1977,USA,Directed byWoody Allen
Earth,"1930USSR, Ukrainian SSR",1930,"USSR, Ukrainian SSR",Directed byAlexander Dovzhenko
My Darling Clementine,1946USA,1946,USA,Directed byJohn Ford
Mouchette,1966France,1966,France,Directed byRobert Bresson
A Clockwork Orange,"1971USA, United Kingdom",1971,"USA, United Kingdom",Directed byStanley Kubrick
A Canterbury Tale,1944United Kingdom,1944,United Kingdom,"Directed byMichael Powell, Emeric Pressburger"
Videodrome,1983Canada,1983,Canada,Directed byDavid Cronenberg
Possession,"1981France, Federal Republic of Germany",1981,"France, Federal Republic of Germany",Directed byAndrzej Zulawski
Soleil Ô,1970France,1970,France,Directed byMed Hondo
"Distant Voices, Still Lives","1988United Kingdom, Federal Republic of Germany",1988,"United Kingdom, Federal Republic of Germany",Directed byTerence Davies
Nostalgia for the Light,"2010France, Germany, Chile, Spain, USA",2010,"France, Germany, Chile, Spain, USA",Directed byPatricio Guzmán
Syndromes and a Century,"2006Thailand, France, Austria, Netherlands",2006,"Thailand, France, Austria, Netherlands",Directed byApichatpong Weerasethakul
The Intruder,"2004France, Republic of Korea",2004,"France, Republic of Korea",Directed byClaire Denis
Morvern Callar,"2001United Kingdom, Canada",2001,"United Kingdom, Canada",Directed byLynne Ramsay
In Vanda's Room,"2000Portugal, Germany, Switzerland",2000,"Portugal, Germany, Switzerland",Directed byPedro Costa
Werckmeister Harmonies,"2000Hungary, Germany, France, Switzerland, Italy",2000,"Hungary, Germany, France, Switzerland, Italy",Directed byBéla Tarr
Taste of Cherry,1997Iran,1997,Iran,Directed byAbbas Kiarostami
The Quince Tree Sun,1992Spain,1992,Spain,Directed byVíctor Erice
The Last Laugh,1924Germany,1924,Germany,Directed byF.W. Murnau
"Harlan County, USA",1976USA,1976,USA,Directed byBarbara Kopple
Cries and Whispers,1972Sweden,1972,Sweden,Directed byIngmar Bergman
