Films,Year,Year1,Country,Director,latitude,longitude
Born in Flames,1983,1983,,Directed byLizzie Borden,46.3144754,11.0480288
Pandora's Box,1928Germany,1928,Germany,Directed byG.W. Pabst,51.1638175,10.4478313
Sullivan's Travels,1941USA,1941,USA,Directed byPreston Sturges,39.7837304,-100.445882
Annie Hall,1977USA,1977,USA,Directed byWoody Allen,39.7837304,-100.445882
Earth,"1930USSR, Ukrainian SSR",1930,"USSR, Ukrainian SSR",Directed byAlexander Dovzhenko,,
My Darling Clementine,1946USA,1946,USA,Directed byJohn Ford,39.7837304,-100.445882
Mouchette,1966France,1966,France,Directed byRobert Bresson,46.603354,1.8883335
A Clockwork Orange,"1971USA, United Kingdom",1971,"USA, United Kingdom",Directed byStanley Kubrick,52.2153827,0.1258329
A Canterbury Tale,1944United Kingdom,1944,United Kingdom,"Directed byMichael Powell, Emeric Pressburger",54.7023545,-3.2765753
Videodrome,1983Canada,1983,Canada,Directed byDavid Cronenberg,61.0666922,-107.991707
Possession,"1981France, Federal Republic of Germany",1981,"France, Federal Republic of Germany",Directed byAndrzej Zulawski,,
Soleil Ô,1970France,1970,France,Directed byMed Hondo,46.603354,1.8883335
"Distant Voices, Still Lives","1988United Kingdom, Federal Republic of Germany",1988,"United Kingdom, Federal Republic of Germany",Directed byTerence Davies,51.6081847,-0.498172
Nostalgia for the Light,"2010France, Germany, Chile, Spain, USA",2010,"France, Germany, Chile, Spain, USA",Directed byPatricio Guzmán,,
Syndromes and a Century,"2006Thailand, France, Austria, Netherlands",2006,"Thailand, France, Austria, Netherlands",Directed byApichatpong Weerasethakul,,
The Intruder,"2004France, Republic of Korea",2004,"France, Republic of Korea",Directed byClaire Denis,,
Morvern Callar,"2001United Kingdom, Canada",2001,"United Kingdom, Canada",Directed byLynne Ramsay,50.9625195,-1.5884921
In Vanda's Room,"2000Portugal, Germany, Switzerland",2000,"Portugal, Germany, Switzerland",Directed byPedro Costa,,
Werckmeister Harmonies,"2000Hungary, Germany, France, Switzerland, Italy",2000,"Hungary, Germany, France, Switzerland, Italy",Directed byBéla Tarr,,
